,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0,TrialState.FAIL,-5.646149158477783,2019-08-07 01:41:22.183924,2019-08-07 01:44:42.196077,32,0.4,0.010130230408794483,0.999,0.95,0.1664672261412471,2048,5,0,Setting status of trial#0 as TrialState.FAIL because of the following error: AssertionError(),-6.347817897796631,-5.646149158477783,,,,,,,,,,,,,,,,,,,
1,1,TrialState.COMPLETE,-65.77470397949219,2019-08-07 01:41:22.184489,2019-08-07 01:48:28.534743,64,0.1,2.4945421193251008e-08,0.995,0.9,0.0003073781785362607,64,10,1,,-12.322629928588867,-13.694259643554688,-16.417091369628906,-33.58619689941406,-37.96021270751953,-59.05864715576172,-59.97296142578125,-45.01390075683594,-46.18749237060547,-67.83573913574219,-64.82537078857422,-54.0015869140625,-45.48664855957031,-62.92207717895508,-56.88222122192383,-37.3856086730957,-40.554100036621094,-56.29198455810547,-65.77470397949219,,
2,2,TrialState.COMPLETE,-12.17436408996582,2019-08-07 01:44:42.381507,2019-08-07 01:50:13.794206,128,0.2,0.030142305558202694,0.9999,0.9,0.006921859910208607,2048,1,2,,-10.107406616210938,-10.451814651489258,-13.34979248046875,-11.030988693237305,-9.422849655151367,-12.17436408996582,,,,,,,,,,,,,,,
3,3,TrialState.COMPLETE,-9.151593208312988,2019-08-07 01:48:28.539469,2019-08-07 01:53:47.015912,32,0.4,0.0027996081984870843,0.9,0.92,0.14557916623227773,128,1,3,,-2.758704900741577,-4.188623428344727,-21.310806274414062,-9.219640731811523,-8.384849548339844,-5.853736877441406,-7.661927700042725,-7.57668924331665,-8.331538200378418,-7.958797454833984,-8.380085945129395,-8.233841896057129,-8.132725715637207,-9.62512493133545,-9.015432357788086,-9.098749160766602,-8.570964813232422,-8.48920726776123,-9.151593208312988,,
4,4,TrialState.COMPLETE,-46.32655334472656,2019-08-07 01:50:13.799284,2019-08-07 01:56:14.477340,256,0.3,0.0029087355177892554,0.95,0.9,0.002029536243043473,16,1,4,,-9.76711368560791,-12.127778053283691,-15.320805549621582,-14.55327320098877,-23.571218490600586,-20.03497314453125,-25.449275970458984,-22.39299201965332,-41.18907165527344,-33.91941833496094,-31.355575561523438,-33.5786247253418,-45.911903381347656,-29.828441619873047,-14.38340950012207,-50.085968017578125,-50.972415924072266,-51.10506820678711,-26.5505428314209,-46.32655334472656,
5,5,TrialState.PRUNED,-9.6129150390625,2019-08-07 01:53:47.020342,2019-08-07 02:02:18.478921,64,0.4,7.99159708744152e-06,0.9,0.92,0.0040666950653938435,32,20,5,,-12.28192138671875,-11.762670516967773,-10.188867568969727,-13.003504753112793,-11.98829174041748,-13.759672164916992,-12.191457748413086,-10.088766098022461,-9.314895629882812,-9.88380241394043,-9.337145805358887,-8.773530960083008,-9.218996047973633,-8.734029769897461,-9.563211441040039,-6.0367751121521,-9.950469017028809,-9.6129150390625,,,
6,6,TrialState.COMPLETE,-9.697247505187988,2019-08-07 01:56:14.483398,2019-08-07 02:02:05.579962,256,0.2,1.8577490784921672e-06,0.98,0.98,4.743412208473007e-05,256,1,6,,-10.602472305297852,-10.528141975402832,-11.467076301574707,-11.309794425964355,-11.622421264648438,-11.25520133972168,-11.13080883026123,-10.815327644348145,-12.074371337890625,-12.278423309326172,-11.033143997192383,-10.112871170043945,-11.216116905212402,-11.099313735961914,-11.028980255126953,-9.697247505187988,,,,,
7,7,TrialState.PRUNED,-8.863443374633789,2019-08-07 02:02:05.587886,2019-08-07 02:05:04.760252,64,0.1,3.28515075473326e-06,0.995,0.9,0.025650834317709894,2048,5,7,,-8.886411666870117,-9.631612777709961,-8.863443374633789,,,,,,,,,,,,,,,,,,
8,8,TrialState.PRUNED,-12.156232833862305,2019-08-07 02:02:18.676513,2019-08-07 02:03:36.458820,256,0.3,0.0004948403294040553,0.95,0.95,0.021569177143056173,32,10,8,,-11.440093040466309,-9.839902877807617,-12.156232833862305,,,,,,,,,,,,,,,,,,
9,9,TrialState.PRUNED,-10.79443073272705,2019-08-07 02:03:36.667866,2019-08-07 02:06:12.753521,32,0.1,9.803415118796231e-05,0.99,0.98,0.0006584970818505349,1024,20,9,,-11.148789405822754,-10.431779861450195,-10.79443073272705,,,,,,,,,,,,,,,,,,
10,10,TrialState.PRUNED,-9.139507293701172,2019-08-07 02:05:04.999536,2019-08-07 02:07:05.808392,128,0.1,0.00037304247020458135,0.995,0.95,6.405419674802727e-05,256,30,10,,-8.408717155456543,-10.27617359161377,-9.139507293701172,,,,,,,,,,,,,,,,,,
11,11,TrialState.PRUNED,-6.141603946685791,2019-08-07 02:06:12.970997,2019-08-07 02:09:13.757265,128,0.2,1.6611627904686212e-06,0.999,0.95,0.0236462137620988,2048,5,11,,-8.877145767211914,-13.666460990905762,-6.141603946685791,,,,,,,,,,,,,,,,,,
12,12,TrialState.PRUNED,-10.199085235595703,2019-08-07 02:07:06.016265,2019-08-07 02:10:50.001415,32,0.1,0.00022904597735072302,0.999,0.8,1.1691175450600661e-05,2048,10,12,,-10.204805374145508,-10.430331230163574,-10.199085235595703,,,,,,,,,,,,,,,,,,
13,13,TrialState.COMPLETE,-78.98561096191406,2019-08-07 02:09:13.970029,2019-08-07 02:15:26.833735,64,0.2,2.4547250578515455e-08,0.98,0.8,0.003532823036260786,128,5,13,,-10.752355575561523,-24.72585678100586,-38.33347702026367,-35.17011260986328,-44.74429702758789,-55.09697723388672,-64.32595825195312,-54.97867965698242,-55.12023162841797,-53.754730224609375,-69.47460174560547,-62.48545455932617,-75.42449951171875,-77.60099792480469,-72.78150177001953,-72.83888244628906,-76.48485565185547,-78.97352600097656,-78.98561096191406,,
14,14,TrialState.PRUNED,-11.012918472290039,2019-08-07 02:10:50.204298,2019-08-07 02:12:01.768100,128,0.3,1.1829908421618713e-06,0.99,0.92,3.9900910508086456e-05,64,5,14,,-12.213385581970215,-11.103593826293945,-11.012918472290039,,,,,,,,,,,,,,,,,,
15,15,TrialState.PRUNED,-11.546609878540039,2019-08-07 02:12:01.972318,2019-08-07 02:13:45.975182,128,0.4,0.0007035659865299795,0.9999,0.9,2.092847008891181e-05,128,30,15,,-10.610177993774414,-11.639592170715332,-11.546609878540039,,,,,,,,,,,,,,,,,,
16,16,TrialState.PRUNED,-9.957473754882812,2019-08-07 02:13:46.262349,2019-08-07 02:15:15.959534,128,0.3,0.0001075537281247823,0.9999,0.8,2.949188649641697e-05,128,20,16,,-11.886274337768555,-10.456460952758789,-9.957473754882812,,,,,,,,,,,,,,,,,,
17,17,TrialState.PRUNED,-21.895709991455078,2019-08-07 02:15:16.166158,2019-08-07 02:19:44.759620,256,0.3,0.007757161518964252,0.99,1.0,0.017213560129739302,64,20,17,,-16.530282974243164,-23.137659072875977,-25.305797576904297,-11.0712251663208,-15.4085054397583,-39.307762145996094,-18.945064544677734,-29.51859474182129,-21.895709991455078,,,,,,,,,,,,
18,18,TrialState.PRUNED,-13.011125564575195,2019-08-07 02:15:26.850816,2019-08-07 02:17:44.517729,128,0.1,3.87843617778819e-06,0.9,0.92,6.67885940304771e-05,128,50,18,,-9.444692611694336,-11.882983207702637,-13.011125564575195,,,,,,,,,,,,,,,,,,
19,19,TrialState.PRUNED,-12.334568977355957,2019-08-07 02:17:44.735853,2019-08-07 02:20:00.007522,256,0.1,1.0789875507713825e-05,0.98,0.8,0.0002769377664622523,1024,20,19,,-11.500016212463379,-12.799772262573242,-12.334568977355957,,,,,,,,,,,,,,,,,,
20,20,TrialState.PRUNED,-11.219080924987793,2019-08-07 02:19:44.968542,2019-08-07 02:20:42.353221,128,0.3,0.04669206491248252,0.9,0.98,0.00013043921100581486,64,1,20,,-10.191216468811035,-10.986215591430664,-11.219080924987793,,,,,,,,,,,,,,,,,,
21,21,TrialState.PRUNED,-11.524762153625488,2019-08-07 02:20:00.221123,2019-08-07 02:22:02.855516,256,0.2,0.004972613880453016,0.99,0.8,0.00030703278662754413,512,20,21,,-12.586774826049805,-9.191549301147461,-11.524762153625488,,,,,,,,,,,,,,,,,,
22,22,TrialState.PRUNED,-7.073824405670166,2019-08-07 02:20:42.559334,2019-08-07 02:22:03.766130,32,0.1,0.0007042407162426875,0.999,1.0,0.25625763237199567,16,5,22,,-5.809468746185303,-6.493736267089844,-7.073824405670166,,,,,,,,,,,,,,,,,,
23,23,TrialState.COMPLETE,-22.000469207763672,2019-08-07 02:22:03.069408,2019-08-07 02:31:13.862257,64,0.4,9.267985377369853e-06,0.99,0.9,0.016593996576192826,512,20,23,,-10.467326164245605,-18.94377899169922,-47.1733283996582,-53.30107879638672,-54.18163299560547,-47.723426818847656,-91.09127044677734,-39.54597091674805,-19.84491539001465,-34.6873893737793,-24.978824615478516,-22.000469207763672,,,,,,,,,
24,24,TrialState.PRUNED,-10.39407730102539,2019-08-07 02:22:03.931959,2019-08-07 02:24:00.104562,128,0.2,4.833208996930347e-06,0.999,0.8,0.0002753943473396786,512,10,24,,-11.297677993774414,-9.692663192749023,-10.39407730102539,,,,,,,,,,,,,,,,,,
25,25,TrialState.PRUNED,-10.013599395751953,2019-08-07 02:24:00.292201,2019-08-07 02:29:29.648033,128,0.2,3.008338034851921e-06,0.99,0.8,2.8964727519363664e-05,2048,30,25,,-10.631315231323242,-9.793360710144043,-10.013599395751953,,,,,,,,,,,,,,,,,,
26,26,TrialState.COMPLETE,-43.74013900756836,2019-08-07 02:29:29.850934,2019-08-07 02:42:37.227291,64,0.1,9.746469643787671e-08,0.99,1.0,0.0001277360334229857,16,20,26,,-16.825031280517578,-35.823814392089844,-28.27691650390625,-30.819610595703125,-31.12278175354004,-44.192447662353516,-38.553733825683594,-49.82611846923828,-46.26111602783203,-42.720497131347656,-54.29121017456055,-46.458492279052734,-68.32388305664062,-44.31111145019531,-56.536041259765625,-71.57518005371094,-59.137168884277344,-50.139564514160156,-56.466026306152344,-120.48250579833984,-43.74013900756836
27,27,TrialState.PRUNED,-12.964986801147461,2019-08-07 02:31:13.882871,2019-08-07 02:34:06.225815,128,0.1,5.030234264555871e-08,0.999,0.92,0.03307066421636088,512,30,27,,-15.110072135925293,-15.748620986938477,-12.964986801147461,,,,,,,,,,,,,,,,,,
28,28,TrialState.PRUNED,-14.321474075317383,2019-08-07 02:34:06.437853,2019-08-07 02:35:44.725861,128,0.3,0.01193664839686921,0.999,0.95,5.587808619859331e-05,128,20,28,,-10.743139266967773,-9.993264198303223,-14.321474075317383,,,,,,,,,,,,,,,,,,
29,29,TrialState.FAIL,,2019-08-07 02:35:44.999299,2019-08-07 02:37:32.019115,64,0.2,0.0044795326983911605,0.999,0.95,0.1737965482009738,2048,20,29,Setting status of trial#29 as TrialState.FAIL because of the following error: AssertionError(),,,,,,,,,,,,,,,,,,,,,
30,30,TrialState.PRUNED,-8.694668769836426,2019-08-07 02:37:32.364469,2019-08-07 02:39:02.636112,256,0.3,1.4955425672127409e-05,0.95,0.98,0.030700388104416016,32,10,30,,-10.006002426147461,-11.100188255310059,-8.694668769836426,,,,,,,,,,,,,,,,,,
31,31,TrialState.PRUNED,-8.678827285766602,2019-08-07 02:39:02.855313,2019-08-07 02:45:38.358089,256,0.4,1.2078099118097927e-08,0.95,0.99,0.19011514361861373,2048,50,31,,-9.140238761901855,-8.828836441040039,-8.678827285766602,,,,,,,,,,,,,,,,,,
32,32,TrialState.PRUNED,-16.56026840209961,2019-08-07 02:42:37.249195,2019-08-07 02:45:15.221212,64,0.1,2.400854927063972e-08,0.98,0.8,0.00402886792973921,256,30,32,,-8.926618576049805,-11.214339256286621,-16.56026840209961,,,,,,,,,,,,,,,,,,
33,33,TrialState.PRUNED,-6.036839485168457,2019-08-07 02:45:15.535551,2019-08-07 02:46:14.064287,256,0.3,0.04062919863309306,0.999,0.99,0.23597434442609364,64,1,33,,-4.635430812835693,-8.192852020263672,-6.036839485168457,,,,,,,,,,,,,,,,,,
34,34,TrialState.PRUNED,-18.17293930053711,2019-08-07 02:45:38.575777,2019-08-07 02:47:29.834348,64,0.1,2.2521141398482903e-08,0.9,0.8,0.0031632352283122,32,30,34,,-12.145991325378418,-14.091646194458008,-18.17293930053711,,,,,,,,,,,,,,,,,,
35,35,TrialState.PRUNED,-24.752742767333984,2019-08-07 02:46:14.273632,2019-08-07 02:48:03.992427,64,0.2,0.00013470069437128174,0.995,0.92,0.004766109491313372,128,5,35,,-13.563794136047363,-16.155088424682617,-26.287267684936523,-19.653087615966797,-24.752742767333984,,,,,,,,,,,,,,,,
36,36,TrialState.PRUNED,-12.759346008300781,2019-08-07 02:47:30.067937,2019-08-07 02:50:10.201728,64,0.1,2.0107174231432454e-07,0.995,0.99,0.00011200018624937378,512,30,36,,-10.048527717590332,-10.743074417114258,-12.759346008300781,,,,,,,,,,,,,,,,,,
37,37,TrialState.COMPLETE,-218.2449493408203,2019-08-07 02:48:04.286061,2019-08-07 02:56:58.030023,64,0.3,3.954294047631311e-08,0.99,1.0,0.025276879377051694,64,5,37,,-31.02349853515625,-28.374935150146484,-20.337703704833984,-35.25341033935547,-219.007568359375,-61.5328254699707,-35.47999954223633,-271.30657958984375,-310.463134765625,-197.5399932861328,-128.24752807617188,-41.239959716796875,-77.02839660644531,-41.47412872314453,-74.75294494628906,-26.692340850830078,-41.36811447143555,-40.830787658691406,-218.2449493408203,,
38,38,TrialState.COMPLETE,-64.02506256103516,2019-08-07 02:50:10.427937,2019-08-07 03:05:08.436596,256,0.2,1.8081137253410953e-07,0.995,0.9,0.0007740325005042988,64,50,38,,-21.497394561767578,-55.54296875,-59.617164611816406,-37.195945739746094,-55.953468322753906,-71.96551513671875,-72.17259216308594,-69.89036560058594,-50.9241943359375,-71.49238586425781,-90.739990234375,-73.07416534423828,-325.2672424316406,-159.8302001953125,-200.45582580566406,-90.95343017578125,-107.84395599365234,-59.14121627807617,-64.02506256103516,,
39,39,TrialState.PRUNED,-11.639287948608398,2019-08-07 02:56:58.056227,2019-08-07 02:58:18.043801,64,0.2,0.0001775478541684561,0.9,0.92,0.02428890130256052,64,5,39,,-10.128829002380371,-12.114225387573242,-11.639287948608398,,,,,,,,,,,,,,,,,,
40,40,TrialState.PRUNED,-9.553655624389648,2019-08-07 02:58:18.321498,2019-08-07 03:01:16.557531,32,0.1,1.3949447164128929e-08,0.9,0.95,0.00020730600560653597,1024,20,40,,-12.136396408081055,-10.9072265625,-9.553655624389648,,,,,,,,,,,,,,,,,,
41,41,TrialState.COMPLETE,-85.3467788696289,2019-08-07 03:01:16.853631,2019-08-07 03:14:45.032923,32,0.1,4.344885695669454e-05,0.99,0.8,0.0004201601508483242,16,20,41,,-12.1513671875,-14.451067924499512,-28.610326766967773,-41.20762252807617,-47.69043731689453,-69.36155700683594,-55.151817321777344,-38.27244186401367,-68.90096282958984,-51.10844039916992,-52.643943786621094,-72.04993438720703,-96.22467041015625,-79.60755157470703,-73.12852478027344,-144.0567169189453,-100.72179412841797,-82.29197692871094,-140.59629821777344,-61.924659729003906,-85.3467788696289
